35,512017,3939,ESCUELA BASICA Nº 987 REINO DE HOLANDA,987,DR.J E ESTIGARRIBIA,MARACANA,URBANA,_,5,170,E.B.B.,AULAS,6,_,PARA SER REPARADA LAS AULAS PORQUE  ATENTA CONTRA LA VIDA DE LOS ALUMNOS Y EL TECHO PRESENTA MAL ESTADO,CAAGUAZU,5
7,,,ESCUELA BÁSICA Nº 1.008 GRAL. BERNARDINO CABALLERO,1008,SANTÍSIMA TRINIDAD,ASUNCIÓN,URBANA,-,2,300,E.B.B.,AULAS,3,3,MEJORAR LOS ASPECTOS ESTÉTICOS DE LA CONSTRUCCIÓN,CAPITAL,0
222,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,DIRECCIÓN,1,,"POR MEJORAR LOS ASPECTOS ESTETICOS, DETERIORO DE PISOS",CENTRAL,11
240,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,BIBLIOTECA,1,,"POR MEJORAR LOS ASPECTOS ESTETICOS, DETERIORO DE PISOS",CENTRAL,11
242,1106013,17674,ESC. BÁS. N° 1019 ESPIRITU SANTO,1019,ITAUGUA,CÑIA. POTRERO,URBANA,--------------------------,R4,35,E.E.B.,AULAS,4,,"POR MEJORAR LOS ASPECTOS ESTÉTICOS, DETERIORO DE LA PINTURA",CENTRAL,11
201,0,17790,ESC. BÁS. N° 1031  SANTIAGO LEGUIZAMÓN ,1031,LUQUE,CALLE – AVENIDA LA RESIDENTA Nº 1173,RURAL,--------------------------,R2,189,E.B.B.,AULAS,3,,DETERIORO NATURAL POR EL PASO DEL TIEMPO.,CENTRAL,11
235,0,17790,ESC. BÁS. N° 1031  SANTIAGO LEGUIZAMÓN ,1031,LUQUE,CALLE – AVENIDA LA RESIDENTA Nº 1173,RURAL,--------------------------,R2,80,3º CICLO,AULAS,3,,POR DETERIORO ,CENTRAL,11
275,0,17790,ESC. BÁS. N° 1031  SANTIAGO LEGUIZAMÓN ,1031,LUQUE,CALLE – AVENIDA LA RESIDENTA Nº 1173,RURAL,--------------------------,R2,189,E.B.B.,AULAS,3,,DETERIORO NATURAL POR EL PASO DEL TIEMPO.,CENTRAL,11
296,0,17790,ESC. BÁS. N° 1031  SANTIAGO LEGUIZAMÓN ,1031,LUQUE,CALLE – AVENIDA LA RESIDENTA Nº 1173,RURAL,--------------------------,R2,80,3º CICLO,AULAS,3,,POR DETERIORO ,CENTRAL,11
21,,,ESC.BAS.Nº 1302 BRAULIO MENDOZA ARECO,1302,PJC,MAYOR MAFFUCCI  POTRERO,RURAL,CNIA MAYOR MAFFUCCI POTRERO,2,140,E.B.B.,AULAS,5,        -,DETERIORO DE PINTURA Y PAREDES,AMAMBAY,13
131,,,ESC. BÁS. Nº 1351 JUAN S. VILLALBA,1351,CAAPUCÚ,RURAL,,3,100,EEB,AULAS,,,,"DETERIORO DE PISO, PARED Y TECHO",PARAGUARI,9
142,,17607,ESCUELA BÁSICA Nº 1.502 PROF. PETRONA M. VDA DE OCAMPOS,1502,CAPIATA,COSTA SALINARES,RURAL,_,R3,580,"1°,2°, 3° C.",AULAS,10,10,COMPLETO,CENTRAL,11
64,512005,3927,ESCUELA BASICA Nº 1655,1655,DR.J E ESTIGARRIBIA,TORIN,URBANA,_,5,90,E.B.B.,AULAS,6,_,PARA SER REPARADA LAS AULAS PORQUE  ATENTA CONTRA LA VIDA DE LOS ALUMNOS ,CAAGUAZU,5
26,"10,633",775,ESC. BÁS.Nº 1.731 SAN ALFREDO,1731,CONCEPCIÓN,SAN ALFREDO,RURAL,-,2,130,1º C. E.E.B,AULAS,5,-,POR MEJORAR EL ASPECTO ESTÉTICO DE LA CONSTRUCCIÓN(GOTERAS EN TECHO Y DETERIORO DE PINTURA),CONCEPCION,1
14,,,ESCUELA BÁSICA Nº 1.737 SAN VICENTE DE PAÚL,1737,SANTÍSIMA TRINIDAD,ASUNCIÓN,URBANA,-,2,596,E.B.B.,AULAS,1,1,MEJORAR LOS ASPECTOS ESTÉTICOS DE LA CONSTRUCCIÓN,CAPITAL,0
40,502017,"3,299","ESCUELA BÁSICA Nº 1738 ""DOÑA VISITACIÓN GIMÉNEZ""",1738,CAAGUAZÚ,TORO BLANCO,RURAL,_,4,130, E.B.B.,AULAS,4,_,"REPAR. DE TECHO, PISO, ILUMINACIÓN, PINTURA, VIDRIO.",CAAGUAZU,5
34,,"18,752",ESC.BÁS. Nº 1.800 GRAL. BERNARDINO CABALLERO,1800,SGTO. JOSÉ F. LÓPEZ,PUENTESIÑO,RURAL,-,2,80,E.E.B,AULAS,4,4,PORQUE SE CAE A PEDAZOS,CONCEPCION,1
56,507035,3658,"ESC. BÁS. Nº 1840""SAN MIGUEL ARCANGEL""",1840,REPATRIACIÓN,3ª LÍNEA SAN MIGUEL,RURAL,SAN MIGUEL,2ZB,99,"E.B.B. 1º, 2º, 3º",AULAS,3,_,POR DETERIORO DE LA CONSTRUCCIÓN,CAAGUAZU,5
42,7538,17663,ESC. BÁS. N° 2125 DON ELIODORO ESTIGARRIBIA ÁVALOS,2125,AREGUÁ,COCUE GUAZU,URBANA,--------------------------,R3,25,3° CICLO E.B.B.,AULAS,1,-,POR ATENTAR CONTRA LA VIDA DE LOS/AS ALUMNOS/AS (TECHO EN MAL ESTADO),CENTRAL,11
53,7538,17663,ESC. BÁS. N° 2125 DON ELIODORO ESTIGARRIBIA ÁVALOS,2125,AREGUÁ,COCUE GUAZU,URBANA,--------------------------,R3,400,"1°,2°,3° CICLO E.B.B.",AULAS,16,-,CAMBIO DE LAS INSTALACIONES ELÉCTRICAS POR APELIGRAR LA VIDA Y MEJORAS DEL ASPECTO DE LA CONSTRUCCION (TECHADO Y PINTURA),CENTRAL,11
80,7539,17664,ESC. BÁS. N° 2126 SAN ISIDRO LABRADOR ,2126,AREGUÁ,PINDOLO,URBANA,--------------------------,R3,52,NIVEL INICIAL,AULAS,1,-,EL TECHO ESTA EN MAL ESTADO APELIGRA LA VIDA DE LOS ESTUDIANTES,CENTRAL,11
143,7539,17664,ESC. BÁS. N° 2126 SAN ISIDRO LABRADOR ,2126,AREGUÁ,PINDOLO,URBANA,--------------------------,R3,320,"NIVEL INICIAL,1°,2° CICLO E.B.B.",COCINA ESCOLAR,1,-,REPARACION TOTAL,CENTRAL,11
147,7539,17664,ESC. BÁS. N° 2126 SAN ISIDRO LABRADOR ,2126,AREGUÁ,PINDOLO,URBANA,--------------------------,R3,320,"NIVEL INICIAL,1°,2° CICLO E.B.B.",BIBLIOTECA,-,1,"NO POSEE CRA, HACE FALTA PARA INVESTIGACIONES, FALTA PISO, PINTURA, ARREGLO DE TECHO",CENTRAL,11
119,7533,17666,ESC. BÁS. N° 2128 FRANCISCO MEDINA ALFONZO,2128,AREGUÁ,YUKYTY,URBANA,--------------------------,R3,150,2° CICLO E.B.B.,AULAS,3,-,"EXISTEN GOTERAS EN EL PABELLON DEL 2° CICLO, EL TECHO ESTA EN MUY MALAS CONDICIONES",CENTRAL,11
206,1106017,17685,ESC. BÁS. N° 2329 NATIVIDAD M. BENITEZ DE PENAYO,2329,ITAUGUA,CÑIA. ALDAMA CAÑADA,URBANA,--------------------------,R4,278,E.E.B.,BIBLIOTECA,1,,"CAMBIO DE TECHO, PAREDES AGRIETADAS",CENTRAL,11
208,1106017,17685,ESC. BÁS. N° 2329 NATIVIDAD M. BENITEZ DE PENAYO,2329,ITAUGUA,CÑIA. ALDAMA CAÑADA,URBANA,--------------------------,R4,278,E.E.B.,DIRECCIÓN,1,,"CAMBIO DE TECHO, PAREDES AGRIETADAS",CENTRAL,11
199,0,17792,ESC. BÁS. N° 2372  LA RESIDENTA ,2372,LUQUE,CALLE – SANTO REY C/ LAS RESIDENTA 4TA CÑIA  ,RURAL,--------------------------,R2,339,E.B.B.,CAMBIO DE TECHO,65 M,,"DETERIORO DEL TECHO, IMPOSIBILITA DAR CLASES EN DÍAS DE LLUVIA Y NO CUENTAN CON PLANO.",CENTRAL,11
273,0,17792,ESC. BÁS. N° 2372  LA RESIDENTA ,2372,LUQUE,CALLE – SANTO REY C/ LAS RESIDENTA 4TA CÑIA  ,RURAL,--------------------------,R2,339,E.B.B.,CAMBIO DE TECHO,65 M,,"DETERIORO DEL TECHO, IMPOSIBILITA DAR CLASES EN DÍAS DE LLUVIA Y NO CUENTAN CON PLANO.",CENTRAL,11
